fid,name,price,rating,reviews,stars
544,Hotel Solans Carlton,5016.5,8.6,768,4
545,Hotel Posta Carretas,4064,8.1,921,4
546,Cozy Soho,2794,8.1,13,
547,Art Factory Palermo,1651,7.9,1408,
548,Luna Palermo,2540,9.9,9,
549,Recoleta Beautiful Apartment,2540,9.4,90,
550,Retiro Apartment,4445,9.1,5,
551,Howard Johnson Inn Palermo,6921.5,7.3,253,4
552,Defensa 821 Bed and Breakfast,3429,8.5,216,
553,My House Buenos Aires II,3683,8.6,75,
554,Byblos Palermo Soho,3683,8.2,630,
555,Homestay Buenos Aires,3111.5,9,137,
556,AQ Tailored Suites,12763.5,9.3,1057,4
557,Apart Hotel en San Telmo,4889.5,8.9,9,
558,Hospedaje La Rana,1206.5,7.4,272,
559,Diplomat Hotel,2095.5,7.3,747,2
560,Palermo Chico apartment,2540,8.6,34,
561,Sucre Suites,2921,8.9,303,
562,474 Buenos Aires Hotel,9461.5,9.2,712,4
563,Hotel Los Cedros,1270,7.1,292,1
564,FAENA HOTEL,11557,7.9,7,5
565,Corazón de Palermo Hollywood,2921,8.5,22,
566,Esmeralda 853,4508.5,9.1,46,
567,Rivadavia Apartment,5080,9.4,356,
568,Duplex Cabildo,2286,8.4,45,
569,Apart Hotel Shoshana,7620,9.6,176,
570,Studio Obelisco,3111.5,9.2,28,
571,Apart Hotel Buenos Aires,3175,7.7,89,
572,Studio en Palermo. Relax y energía para tu estadía,2603.5,9.7,23,
573,Hotel Ayamitre,2286,6.8,139,2
574,Sissi Apart,4445,9,58,
575,Esmeralda Studio,2857.5,8.6,15,
576,BELGRANO. EXCELENTE UBICACION Y MEDIOS DE TRANSPORTE HACIA TODA LA CIUDAD. COMPARTIDO,3238.5,8.9,35,
577,M&M San Telmo,4064,9.2,22,
578,Juncal Apartamento,4127.5,7.9,21,
579,Departamento Gascon,2984.5,9.3,63,
580,Abasto Hotel,4191,7.3,569,4
581,Beautiful apartment in Palermo. 2 blocks from subway,2159,9.3,42,
582,Prodeo Hotel + Lounge,4953,8.5,191,4
583,La Maison Hostel Boutique,1587.5,7.4,86,
584,Exclusivo depto en Palermo Soho,5651.5,9.1,9,
585,Callao Plaza Suites,2794,7.7,424,
586,Principado Downtown,7112,8.5,1606,4
587,Ricana Ba Center (ex Vista Sol Buenos Aires),3810,8.1,747,4
588,Four Seasons Hotel Buenos Aires,63.5,9.4,134,5
589,HI Recoleta,1587.5,7.4,148,
590,Golf Tower Suites & Apartments,4445,6.6,586,3
591,Apartment Castillo,2540,9.7,48,
592,Apartamento Parque Lezama,2286,9.6,52,
593,Purobaires Hotel Boutique,7556.5,8,329,4
594,Grace's apartment,2476.5,8.7,13,
595,Borges 1 Palermo Buenos Aires,5651.5,9.5,4,
596,Apartamento en Recoleta. cómodo y funcional. WiFi,4953,9.4,7,
597,Apartamento amplio. luminoso y tranquilo en Palermo. WiFi,6985,9.7,28,
598,Enjoy Buenos Aires Palermo Hollywood,3492.5,9.1,10,
599,Hotel Presidente Buenos Aires,3810,7.5,543,4
600,Hotel Gran Sarmiento,1524,7.1,261,1
601,Babel Alto,2857.5,8.7,230,
602,Homely Flat. Great Location,1587.5,9.4,29,
603,Hermoso departamento en Palermo excelente ubicación,4127.5,9.6,9,
604,Trianon Residence Recoleta,7366,8.5,459,4
605,Blank Hotel Recoleta,8953.5,8.9,816,4
606,Melia Buenos Aires Hotel,9842.5,7.9,373,5
607,CASA DEVOTO 5238,3429,9.7,18,
608,Hotel Clasico,7747,8.6,665,4
609,Palermo Suites Buenos Aires,7429.5,8.3,707,4
610,Play Hostel Soho,2222.5,8.1,495,
611,CasaCalma Hotel,14414.5,9.4,275,4
612,Miravida Soho Hotel & Wine Bar,18034,9.1,171,
613,River House Bed & Breakfast,4000.5,8.6,218,
614,America Del Sur Hostel Buenos Aires,3111.5,8.7,851,
615,Avellaneda Aparts & Suites,4508.5,8.7,78,
616,Faena Hotel Buenos Aires,32956.5,8.8,247,5
617,InterContinental Buenos Aires,18605.5,8.5,149,5
618,Unique Studio in Palermo Hollywood,6286.5,9.6,4,
619,VyR Buenos Aires Palermo,3810,7.3,77,
620,Homelike,2857.5,8.9,102,
621,Cedro Azul,2159,8,18,
622,JFK Apartments,4762.5,9.1,144,
623,Hotel Dolmen,5715,8.3,814,4
624,Impecable monoambiente en Belgrano,5715,9.5,22,
625,departamento,2857.5,9.5,67,
626,Ultra Hotel Buenos Aires,6477,7.1,587,4
627,Tower Rock Palermo Buenos Aires Soler,6985,9.2,21,
628,Modern Apartment Rivas - Swimming Pool,3492.5,9,36,
629,Tre Design Apartments,4762.5,7.6,281,
630,Riobamba Street,5715,9.5,37,
631,Luxury La Abadía,4445,9.6,69,
632,Tango Cozy Estudio Luminoso WiFi,4127.5,9.8,113,
633,Feir's Park Hotel,9271,8.3,531,5
634,ISI Baires Rental Apart & Suites,3048,7.5,576,
635,Studio Iq,3492.5,9.4,49,
636,Apartamento en Belgrano Luminoso y Tranquilo. WIFI,3937,9.4,71,
637,Excelente amplio y luminoso 2 ambientes en Recoleta,2159,9.6,11,
638,Cristal Palace Hotel,3683,7.2,335,4
639,Arrabal Porteño,3810,8.9,29,
640,Piccaluga Apartments,3746.5,8.5,114,
641,New Apartamento Dorrego C,4572,9.4,17,
642,The House,9525,7.8,16,
643,Esplendido con vista al Rio. Dos dormitorios en suite. Gym. Piscina. Seguridad,8572.5,9.7,7,
644,Apartamento Palermo Soho Tango & WiFi,4826,9.8,60,
645,Carsson Hotel Downtown Buenos Aires,4445,7.9,773,4
646,Alto Palermo - Frente Parque Las Heras,2159,9.8,9,
647,Deluxe Seniors,4445,8.4,100,
648,Grace Home,2349.5,9.5,13,
649,Roosevelt Suites,3111.5,7.9,11,
650,Departamento Palermo cochera s c Visa Usa La Rural,2984.5,8.9,7,
651,Howard Johnson Plaza Buenos Aires,5016.5,8.9,532,4
652,Own Madero,8699.5,8.8,620,4
653,Holy Hostel,2667,8,516,
654,Savoy Hotel,9715.5,8.6,483,4
655,1828 Smart Hotel Boutique,12446,8.8,208,5
656,Consorcio Pasaje Gutierrez,4445,9.7,31,
657,Hostel Positivo,1587.5,9.3,6,
658,Hotel Master Suite Devoto,8763,8.7,40,
659,Poetry Building Recoleta,11049,9.2,68,
660,Hebe Suite,5397.5,9.4,20,
661,Dazzler by Wyndham Buenos Aires San Martin,6286.5,7.9,684,4
662,Argenta Suites Belgrano,8890,8.8,206,4
663,Magnolia Hotel Boutique,10668,9.1,158,4
664,En el corazón de Buenos Aires,4445,9.8,20,
665,Hotel Dos Mundos,1841.5,6.8,30,
666,Apartamento Viajero,3175,9.7,52,
667,Suite Porteña,4254.5,8.5,11,
